ts,open,high,low,close,volume
2015-12-07 00:00:00,388.54,399.91,381.01,395.57,14949.58607447
2015-12-08 00:00:00,395.57,418.87,388.33,417.89,11455.14109168
2015-12-09 00:00:00,416.67,424.95,400.00,416.98,21039.90850734
2015-12-10 00:00:00,416.69,419.79,408.91,415.57,8463.88473949
2015-12-11 00:00:00,415.57,454.48,415.13,453.04,29020.19839361
2015-12-12 00:00:00,453.12,467.80,403.00,436.19,29770.28379771
2015-12-13 00:00:00,436.08,442.97,422.03,433.07,11725.66723962
2015-12-14 00:00:00,433.13,448.12,428.42,443.36,13386.74415731
2015-12-15 00:00:00,443.30,464.99,442.94,464.53,18096.38828320
2015-12-16 00:00:00,464.53,465.00,436.89,455.87,23377.12257344
2015-12-17 00:00:00,455.61,458.84,448.75,456.17,6598.64094860
2015-12-18 00:00:00,455.37,466.64,453.50,462.46,12914.73680338
2015-12-19 00:00:00,463.70,465.90,452.03,461.80,6839.17868702
2015-12-20 00:00:00,461.89,462.00,433.83,442.54,16626.48835530
2015-12-21 00:00:00,442.47,450.00,425.52,438.07,18930.86318614
2015-12-22 00:00:00,438.14,443.58,433.06,435.48,8146.01738798
2015-12-23 00:00:00,435.65,445.52,434.43,442.56,7100.22828740
2015-12-24 00:00:00,443.01,459.54,443.01,455.00,10138.31555001
2015-12-25 00:00:00,455.78,458.33,448.00,455.51,2877.16735131
2015-12-26 00:00:00,455.50,457.45,407.25,417.39,26672.12173065
2015-12-27 00:00:00,417.11,425.42,410.50,421.76,6968.57365917
2015-12-28 00:00:00,421.78,429.86,417.01,421.46,7560.56299201
2015-12-29 00:00:00,420.81,433.33,418.55,431.82,10419.58536596
2015-12-30 00:00:00,431.70,434.97,420.75,425.84,7717.51026264
2015-12-31 00:00:00,426.09,433.89,419.99,430.89,6634.86316708
2016-01-01 00:00:00,430.89,436.00,427.20,433.82,3788.11117403
2016-01-02 00:00:00,434.87,435.99,430.42,433.55,2972.06344935
2016-01-03 00:00:00,433.20,434.09,424.06,431.04,4571.09703841
2016-01-04 00:00:00,431.54,435.86,428.44,434.17,5717.59545799
2016-01-05 00:00:00,433.31,435.39,429.50,432.43,3881.72086195
2016-01-06 00:00:00,432.45,432.67,426.54,429.56,5507.61422624
2016-01-07 00:00:00,429.99,459.16,429.25,457.00,16833.41915668
2016-01-08 00:00:00,456.87,465.00,444.51,452.70,10258.99458520
2016-01-09 00:00:00,452.02,454.00,446.68,448.84,4396.04500090
2016-01-10 00:00:00,448.84,449.89,440.80,448.79,4078.61065365
2016-01-11 00:00:00,448.20,451.13,438.00,448.00,7986.45843125
2016-01-12 00:00:00,448.00,448.00,434.35,434.85,6930.89654863
2016-01-13 00:00:00,434.78,438.35,424.50,432.64,10067.02104551
2016-01-14 00:00:00,432.64,434.00,427.00,429.55,4420.91215989
2016-01-15 00:00:00,429.55,429.80,360.00,360.00,37326.70141453
2016-01-16 00:00:00,360.62,392.07,352.00,386.91,25019.25199317
2016-01-17 00:00:00,387.80,391.14,376.00,380.16,8416.94363509
2016-01-18 00:00:00,379.94,388.50,373.63,385.49,7015.52993583
2016-01-19 00:00:00,385.47,386.92,375.59,376.76,7223.00324232
2016-01-20 00:00:00,376.90,422.98,372.53,416.32,25172.91741948
2016-01-21 00:00:00,418.90,421.25,404.59,409.59,9414.55707194
2016-01-22 00:00:00,409.42,410.07,374.45,382.55,14744.75776299
2016-01-23 00:00:00,382.85,395.00,381.05,386.40,7664.89092787
2016-01-24 00:00:00,386.37,405.97,385.36,402.16,5448.84521320
2016-01-25 00:00:00,402.16,402.31,385.50,390.90,8040.83085608
2016-01-26 00:00:00,390.10,397.70,386.20,391.77,6589.15355022
2016-01-27 00:00:00,391.77,397.00,390.31,394.95,4262.62933663
2016-01-28 00:00:00,394.62,395.56,376.00,379.75,11414.04549852
2016-01-29 00:00:00,379.55,383.99,363.73,378.22,13544.14541999
2016-01-30 00:00:00,378.12,380.42,372.95,375.64,2587.10717327
2016-01-31 00:00:00,376.38,379.30,364.70,368.49,4166.66582034
2016-02-01 00:00:00,368.49,378.20,366.53,371.81,7255.13421769
