ts,close
1674000000,4.32e-05
1674086400,4.263e-05
1674172800,4.55e-05
1674259200,4.37e-05
1674345600,4.723e-05
1674432000,4.651e-05
1674518400,4.39e-05
1674604800,4.466e-05
1674691200,4.56e-05
1674777600,4.903e-05
1674864000,4.654e-05
1674950400,4.579e-05
1675036800,4.347e-05
1675123200,4.404e-05
1675209600,4.68e-05
1675296000,4.511e-05
1675382400,4.753e-05
1675468800,4.75e-05
1675555200,4.576e-05
1675641600,4.59e-05
1675728000,4.682e-05
1675814400,4.957e-05
1675900800,4.46e-05
1675987200,4.437e-05
1676073600,4.38e-05
1676160000,4.257e-05
1676246400,4.84e-05
1676332800,4.856e-05
1676419200,4.712e-05
1676505600,4.642e-05
1676592000,4.946e-05
1676678400,5.08e-05
1676764800,4.959e-05
1676851200,5.097e-05
1676937600,4.747e-05
1677024000,4.578e-05
1677110400,4.509e-05
1677196800,4.3e-05
1677283200,4.26e-05
1677369600,4.332e-05
1677456000,4.324e-05
1677542400,4.298e-05
1677628800,4.37e-05
1677715200,4.217e-05
1677801600,4.175e-05
1677888000,4.07e-05
1677974400,4.145e-05
1678060800,4.231e-05
1678147200,4.38e-05
1678233600,4.094e-05
1678320000,4.118e-05
1678406400,4.404e-05
1678492800,4.201e-05
1678579200,4.323e-05
1678665600,4.052e-05
1678752000,4e-05
1678838400,3.668e-05
1678924800,3.647e-05
1679011200,3.663e-05
1679097600,3.668e-05
1679184000,3.637e-05
1679270400,3.464e-05
1679356800,3.539e-05
1679443200,3.449e-05
1679529600,3.425e-05
1679616000,3.3e-05
1679702400,3.342e-05
1679788800,3.332e-05
1679875200,3.277e-05
1679961600,3.374e-05
1680048000,3.32e-05
1680134400,3.289e-05
1680220800,3.285e-05
1680307200,3.242e-05
1680393600,3.22e-05
1680480000,3.322e-05
1680566400,3.538e-05
1680652800,3.558e-05
1680739200,3.603e-05
1680825600,3.656e-05
1680912000,3.665e-05
1680998400,3.573e-05
1681084800,3.468e-05
1681171200,3.369e-05
1681257600,3.44e-05
1681344000,3.511e-05
1681430400,3.586e-05
1681516800,3.609e-05
1681603200,3.646e-05
1681689600,3.565e-05
1681776000,3.539e-05
1681862400,3.326e-05
1681948800,3.338e-05
1682035200,3.379e-05
1682121600,3.369e-05
1682208000,3.427e-05
1682294400,3.372e-05
1682380800,3.321e-05
1682467200,3.23e-05
1682553600,3.205e-05
1682640000,3.152e-05
1682726400,3.177e-05
1682812800,3.108e-05
1682899200,3.146e-05
1682985600,3.155e-05
1683072000,3.336e-05
1683158400,3.218e-05
1683244800,3.231e-05
1683331200,3.122e-05
1683417600,3.117e-05
1683504000,3.007e-05
1683590400,3.026e-05
1683676800,3.039e-05
1683763200,2.962e-05
1683849600,3.04e-05
1683936000,2.999e-05
1684022400,2.993e-05
1684108800,3.042e-05
1684195200,3.069e-05
1684281600,3.037e-05
1684368000,3.078e-05
1684454400,3.079e-05
1684540800,3.057e-05
1684627200,3.121e-05
1684713600,3.165e-05
1684800000,3.172e-05
1684886400,3.148e-05
1684972800,3.107e-05
1685059200,3.192e-05
1685145600,3.157e-05
1685232000,3.065e-05
1685318400,3.078e-05
1685404800,3.019e-05
1685491200,3.003e-05
1685577600,3.029e-05
1685664000,3.128e-05
1685750400,3.142e-05
1685836800,3.126e-05
1685923200,3.007e-05
1686009600,2.942e-05
1686096000,2.865e-05
1686182400,2.869e-05
1686268800,2.863e-05
1686355200,2.598e-05
1686441600,2.581e-05
1686528000,2.452e-05
1686614400,2.504e-05
1686700800,2.265e-05
1686787200,2.372e-05
1686873600,2.36e-05
1686960000,2.338e-05
1687046400,2.366e-05
1687132800,2.356e-05
1687219200,2.344e-05
1687305600,2.287e-05
1687392000,2.241e-05
1687478400,2.254e-05
1687564800,2.196e-05
1687651200,2.311e-05
1687737600,2.246e-05
1687824000,2.258e-05
1687910400,2.195e-05
1687996800,2.33e-05
1688083200,2.494e-05
1688169600,2.543e-05
1688256000,2.494e-05
1688342400,2.517e-05
1688428800,2.616e-05
1688515200,2.556e-05
1688601600,2.422e-05
1688688000,2.593e-05
1688774400,2.569e-05
1688860800,2.642e-05
1688947200,2.647e-05
1689033600,2.588e-05
1689120000,2.582e-05
1689206400,2.681e-05
1689292800,2.708e-05
1689379200,2.709e-05
1689465600,2.67e-05
1689552000,2.684e-05
1689638400,2.623e-05
1689724800,2.596e-05
1689811200,2.637e-05
1689897600,2.573e-05
1689984000,2.52e-05
1690070400,2.519e-05
1690156800,2.495e-05
1690243200,2.482e-05
1690329600,2.487e-05
1690416000,2.492e-05
1690502400,2.487e-05
1690588800,2.51e-05
1690675200,2.16e-05
1690761600,1.939e-05
1690848000,2.067e-05
1690934400,1.997e-05
1691020800,1.985e-05
1691107200,2.102e-05
1691193600,2.136e-05
1691280000,2.101e-05
1691366400,2.103e-05
1691452800,2.018e-05
1691539200,2.077e-05
1691625600,2.067e-05
1691712000,2.027e-05
1691798400,1.986e-05
1691884800,1.968e-05
1691971200,1.973e-05
1692057600,1.901e-05
1692144000,1.88e-05
1692230400,1.855e-05
1692316800,1.899e-05
1692403200,1.925e-05
1692489600,1.904e-05
1692576000,1.83e-05
1692662400,1.823e-05
1692748800,1.77e-05
1692835200,1.736e-05
1692921600,1.745e-05
1693008000,1.738e-05
1693094400,1.762e-05
1693180800,1.862e-05
1693267200,1.743e-05
1693353600,1.732e-05
1693440000,1.746e-05
1693526400,1.697e-05
1693612800,1.69e-05
1693699200,1.672e-05
1693785600,1.691e-05
1693872000,1.72e-05
1693958400,1.749e-05
1694044800,1.702e-05
1694131200,1.701e-05
1694217600,1.709e-05
1694304000,1.652e-05
1694390400,1.621e-05
1694476800,1.552e-05
1694563200,1.59e-05
1694649600,1.581e-05
1694736000,1.634e-05
1694822400,1.648e-05
1694908800,1.626e-05
1694995200,1.588e-05
1695081600,1.63e-05
1695168000,1.628e-05
1695254400,1.671e-05
1695340800,1.845e-05
1695427200,1.782e-05
1695513600,1.959e-05
1695600000,1.979e-05
1695686400,1.995e-05
1695772800,1.96e-05
1695859200,1.91e-05
1695945600,1.94e-05
1696032000,1.922e-05
1696118400,1.922e-05
1696204800,1.814e-05
1696291200,1.775e-05
1696377600,1.735e-05
1696464000,1.7e-05
1696550400,1.693e-05
1696636800,1.688e-05
1696723200,1.696e-05
1696809600,1.627e-05
1696896000,1.586e-05
1696982400,1.614e-05
1697068800,1.584e-05
1697155200,1.643e-05
1697241600,1.627e-05
1697328000,1.62e-05
1697414400,1.568e-05
1697500800,1.525e-05
1697587200,1.497e-05
1697673600,1.442e-05
1697760000,1.416e-05
1697846400,1.469e-05
1697932800,1.504e-05
1698019200,1.425e-05
1698105600,1.411e-05
1698192000,1.387e-05
1698278400,1.397e-05
1698364800,1.372e-05
1698451200,1.41e-05
1698537600,1.427e-05
1698624000,1.415e-05
1698710400,1.383e-05
1698796800,1.472e-05
1698883200,1.457e-05
